"tf.Tensor(0.0020346855080509247, shape=(), dtype=float64)"
"tf.Tensor(0.0020062930030808404, shape=(), dtype=float64)"
"tf.Tensor(0.002004734185743714, shape=(), dtype=float64)"
"tf.Tensor(0.002015437705510495, shape=(), dtype=float64)"
"tf.Tensor(0.0019500084204735458, shape=(), dtype=float64)"
"tf.Tensor(0.002022626308376449, shape=(), dtype=float64)"
"tf.Tensor(0.002006925636463043, shape=(), dtype=float64)"
"tf.Tensor(0.0020203302112337352, shape=(), dtype=float64)"
"tf.Tensor(0.0020152221654231323, shape=(), dtype=float64)"
"tf.Tensor(0.0019456541050016543, shape=(), dtype=float64)"
"tf.Tensor(0.0018712111137380585, shape=(), dtype=float64)"
"tf.Tensor(0.0018971788888647956, shape=(), dtype=float64)"
"tf.Tensor(0.0019472395654425178, shape=(), dtype=float64)"
"tf.Tensor(0.00214181588114677, shape=(), dtype=float64)"
"tf.Tensor(0.0020179152411398294, shape=(), dtype=float64)"
"tf.Tensor(0.002066412992588756, shape=(), dtype=float64)"
"tf.Tensor(0.002090774926613674, shape=(), dtype=float64)"
"tf.Tensor(0.0019991174622130572, shape=(), dtype=float64)"
