"tf.Tensor(0.0020159844937332337, shape=(), dtype=float64)"
"tf.Tensor(0.0020070075143846845, shape=(), dtype=float64)"
"tf.Tensor(0.001971882899321013, shape=(), dtype=float64)"
"tf.Tensor(0.0018586871468719, shape=(), dtype=float64)"
"tf.Tensor(0.0020746150628820903, shape=(), dtype=float64)"
"tf.Tensor(0.001975814700156035, shape=(), dtype=float64)"
"tf.Tensor(0.0020194500405670683, shape=(), dtype=float64)"
"tf.Tensor(0.0020152221654231323, shape=(), dtype=float64)"
"tf.Tensor(0.002029538898656618, shape=(), dtype=float64)"
"tf.Tensor(0.001974867480821838, shape=(), dtype=float64)"
"tf.Tensor(0.002004427765562348, shape=(), dtype=float64)"
"tf.Tensor(0.002050764208477159, shape=(), dtype=float64)"
"tf.Tensor(0.0019920747168244326, shape=(), dtype=float64)"
"tf.Tensor(0.002041384150867426, shape=(), dtype=float64)"
"tf.Tensor(0.0019586062630195158, shape=(), dtype=float64)"
"tf.Tensor(0.0020233223794898507, shape=(), dtype=float64)"
"tf.Tensor(0.002006925636463043, shape=(), dtype=float64)"
"tf.Tensor(0.0019717840323308497, shape=(), dtype=float64)"
