"tf.Tensor(0.0020236629211099004, shape=(), dtype=float64)"
"tf.Tensor(0.002065999885175323, shape=(), dtype=float64)"
"tf.Tensor(0.002096580531662248, shape=(), dtype=float64)"
"tf.Tensor(0.002029538898656618, shape=(), dtype=float64)"
"tf.Tensor(0.0020010537862562875, shape=(), dtype=float64)"
"tf.Tensor(0.0020191605548878304, shape=(), dtype=float64)"
"tf.Tensor(0.002061328137295421, shape=(), dtype=float64)"
"tf.Tensor(0.002090111582984659, shape=(), dtype=float64)"
"tf.Tensor(0.002042819300657062, shape=(), dtype=float64)"
"tf.Tensor(0.0020180872707710623, shape=(), dtype=float64)"
"tf.Tensor(0.002002006678935545, shape=(), dtype=float64)"
"tf.Tensor(0.0020772943782497405, shape=(), dtype=float64)"
"tf.Tensor(0.0020172992116683497, shape=(), dtype=float64)"
"tf.Tensor(0.0018712111137380585, shape=(), dtype=float64)"
"tf.Tensor(0.0019539390559295483, shape=(), dtype=float64)"
"tf.Tensor(0.0020343054049682323, shape=(), dtype=float64)"
"tf.Tensor(0.002090774926613674, shape=(), dtype=float64)"
"tf.Tensor(0.001985049766306202, shape=(), dtype=float64)"
