"tf.Tensor(0.002037870155229352, shape=(), dtype=float64)"
"tf.Tensor(0.0020427197511309245, shape=(), dtype=float64)"
"tf.Tensor(0.001973874327345077, shape=(), dtype=float64)"
"tf.Tensor(0.0020530473101281225, shape=(), dtype=float64)"
"tf.Tensor(0.0022088663769241432, shape=(), dtype=float64)"
"tf.Tensor(0.0019571806345926486, shape=(), dtype=float64)"
"tf.Tensor(0.0021329437662843047, shape=(), dtype=float64)"
"tf.Tensor(0.002021362738067212, shape=(), dtype=float64)"
"tf.Tensor(0.0020251439545624457, shape=(), dtype=float64)"
"tf.Tensor(0.0020436782631884703, shape=(), dtype=float64)"
"tf.Tensor(0.0019717840323308497, shape=(), dtype=float64)"
"tf.Tensor(0.0020194500405670683, shape=(), dtype=float64)"
"tf.Tensor(0.0019586062630195158, shape=(), dtype=float64)"
"tf.Tensor(0.002002006678935545, shape=(), dtype=float64)"
"tf.Tensor(0.001932971841060454, shape=(), dtype=float64)"
"tf.Tensor(0.0019957470809686905, shape=(), dtype=float64)"
"tf.Tensor(0.0020661523281528538, shape=(), dtype=float64)"
"tf.Tensor(0.00213452019356447, shape=(), dtype=float64)"
