"tf.Tensor(0.02500662714017117, shape=(), dtype=float64)"
"tf.Tensor(0.007755197630873592, shape=(), dtype=float64)"
"tf.Tensor(0.007830354354056053, shape=(), dtype=float64)"
"tf.Tensor(0.001152847144105515, shape=(), dtype=float64)"
"tf.Tensor(0.025246637546586487, shape=(), dtype=float64)"
"tf.Tensor(0.007689886911850124, shape=(), dtype=float64)"
"tf.Tensor(0.0009828029887255399, shape=(), dtype=float64)"
"tf.Tensor(-9.610740224089551e-07, shape=(), dtype=float64)"
"tf.Tensor(0.02534886015773875, shape=(), dtype=float64)"
"tf.Tensor(0.03226243730239757, shape=(), dtype=float64)"
"tf.Tensor(0.02536301073414233, shape=(), dtype=float64)"
"tf.Tensor(-5.576542668325705e-07, shape=(), dtype=float64)"
"tf.Tensor(-1.0314786905832514e-06, shape=(), dtype=float64)"
"tf.Tensor(0.0011101747384781328, shape=(), dtype=float64)"
"tf.Tensor(0.029663145160273935, shape=(), dtype=float64)"
"tf.Tensor(0.00750465501292535, shape=(), dtype=float64)"
"tf.Tensor(0.008948897684612349, shape=(), dtype=float64)"
